product_id,product_name,category_id,launch_date,price
P-1,MacBook Air M1,cat-1,2017-08-08,3066.69
P-2,MacBook Air M2,cat-1,2022-12-20,1979.46
P-3,MacBook Pro 13-inch,cat-1,2021-03-09,3481.34
P-4,MacBook Pro 14-inch,cat-1,2022-10-08,3975.82
P-5,MacBook Pro 16-inch,cat-1,2018-09-24,2375.73
P-6,MacBook Pro M2 Max,cat-1,2021-05-12,1045.32
P-7,MacBook Pro M1 Max,cat-1,2020-11-15,3727.39
P-8,AirPods 2nd Gen SE,cat-2,2023-10-17,385.25
P-9,AirPods 3rd Gen Gen,cat-2,2014-08-31,291.02
P-10,AirPods Pro Pro,cat-2,2019-01-14,373.76
P-11,AirPods Max Ultra,cat-2,2021-11-13,172.14
P-12,HomePod Mini 2022,cat-2,2019-11-23,192.35
P-13,iPad 9th Gen Gen,cat-3,2015-08-05,1024.74
P-14,iPad 10th Gen Pro,cat-3,2021-05-06,1193.89
P-15,iPad Air 5th Gen 2022,cat-3,2023-12-29,1629.75
P-16,iPad Pro 11-inch Max,cat-3,2014-04-11,1091.14
P-17,iPad Pro 12.9-inch Plus,cat-3,2023-04-28,1893.51
P-18,iPhone 13 Gen,cat-4,2016-05-23,1547.35
P-19,iPhone 13 Mini 2022,cat-4,2023-03-08,1371.47
P-20,iPhone 13 Pro 2022,cat-4,2021-12-28,1200.76
P-21,iPhone 13 Pro Max Pro,cat-4,2014-07-14,1428.86
P-22,iPhone 14 SE,cat-4,2018-07-23,837.51
P-23,iPhone 14 Plus 2023,cat-4,2023-08-16,1185.02
P-24,iPhone 14 Pro Ultra,cat-4,2018-07-28,853.76
P-25,iPhone 14 Pro Max Ultra,cat-4,2021-11-09,839.7
P-26,Apple Watch Series 6 2022,cat-5,2023-02-18,353.13
P-27,Apple Watch Series 7 SE,cat-5,2022-05-28,579.76
P-28,Apple Watch SE 2022,cat-5,2021-03-24,352.36
P-29,Apple Watch Ultra Gen,cat-5,2020-06-10,262.99
P-30,Apple TV HD 2022,cat-6,2014-11-11,151.16
P-31,Apple TV 4K 1st Gen Pro,cat-6,2015-11-29,176.5
P-32,Apple TV 4K 2nd Gen Max,cat-6,2023-02-12,197.44
P-33,Apple TV 4K 3rd Gen 2022,cat-6,2018-02-06,173.3
P-34,iMac 24-inch M1 2022,cat-7,2023-01-22,7795.45
P-35,Mac Studio SE,cat-7,2024-02-02,2636.46
P-36,Mac mini M1 2023,cat-7,2021-02-03,12831.8
P-37,Mac Pro SE,cat-7,2014-05-05,5908.28
P-38,Apple Music SE,cat-8,2019-01-30,15.16
P-39,Apple TV+ 2023,cat-8,2014-02-23,7.43
P-40,Apple Arcade Ultra,cat-8,2022-04-04,16.6
P-41,iCloud+ 2023,cat-8,2015-09-27,8.04
P-42,Apple Fitness+ 2023,cat-8,2020-02-07,15.64
P-43,HomePod Gen,cat-9,2014-01-29,135.64
P-44,HomePod Mini Pro,cat-9,2024-01-20,129.31
P-45,Magic Keyboard Pro,cat-10,2017-10-13,104.98
P-46,Magic Mouse 2022,cat-10,2014-08-02,70.4
P-47,Magic Trackpad Plus,cat-10,2018-05-30,76.29
P-48,AirTag Plus,cat-10,2018-06-17,103.35
P-49,USB-C Charger Ultra,cat-10,2016-05-08,91.92
P-50,MagSafe Charger Pro,cat-10,2014-02-17,81.32
P-51,MacBook Air M1 SE,cat-1,2020-06-03,1131.79
P-52,MacBook Air M2 SE,cat-1,2019-08-25,1441.58
